Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
34	5.46722	3.0866833	11.796201	-0.80142385	22.571428	28.42965	90.0	0.0	1000.0	38189.0	0.03637047619047619	0.5358119	0.6064305	1.7936263	-0.9697536	2.3457983	3.3761616	25.97298	-1.2087687	-7.450581e-09	-0.0032131793	-7.450581e-09	-0.018573463	0.10555297	-0.039014738	35.664574	-5.6451006	1.4958646	0.0059036016	2.0	1.8278311	0.02575802	1050000	981.9169008731842
35	2.5121844	2.952306	7.775364	-2.0535593	12.214286	33.193542	174.0	0.0	1000.0	38555.0	0.03569907407407408	0.36382103	0.5500469	2.3593245	-0.5686091	1.7562938	1.5389628	26.773409	-0.96927387	1.8626451e-09	-0.0019973302	1.4901161e-08	-0.0020678267	0.09251261	-0.04305398	30.370258	-4.5081315	1.5017682	0.0031461716	2.0	1.8271953	0.008199918	1080000	1009.9398488998413
36	3.654503	2.9941676	9.153412	-1.1360815	15.571428	35.613426	185.0	0.0	1000.0	39010.0	0.03514414414414414	0.3034102	0.5160918	2.0414433	-0.7963455	1.8383294	2.3609736	22.217781	-0.58199	2.2351742e-08	-0.0128204	3.7252903e-08	-0.024018962	0.091282666	-0.038657308	37.01735	-4.60865	1.5049144	0.0031517744	25.0	1.8265083	0.01370131	1110000	1039.8591232299805
37	3.7488658	2.5381787	7.5028863	-1.0416807	3.2857144	8.262898	29.0	0.0	1000.0	39229.0	0.03441140350877193	0.31690773	0.600871	2.0585513	-0.89728314	1.4429892	2.0948732	27.152298	-0.58333504	-5.5879354e-09	-0.0056043467	-3.7252903e-09	-0.011556601	0.107808664	-0.05299299	18.776617	-7.2041936	1.5080662	-0.0018332005	8.0	1.8226411	0.011450271	1140000	1068.6793191432953
38	2.878805	3.4168167	13.26306	-2.4614882	15.821428	40.51019	182.0	0.0	1000.0	39672.0	0.033907692307692305	0.34901777	0.52640176	2.0694802	-0.6485123	1.0198565	1.7502573	18.55751	-0.457545	2.9802322e-08	-0.010619581	3.7252903e-08	-0.020752788	0.09831517	-0.051964257	52.861908	-15.992626	1.506233	-0.0020666122	20.0	1.8200221	0.013774486	1170000	1098.2751834392548
39	4.480813	2.8913133	9.324492	-0.81269544	12.142858	16.721916	56.0	0.0	1000.0	40012.0	0.033343333333333336	0.40499046	0.55749255	1.8091816	-0.728805	1.0800587	1.3744491	20.840807	-0.69873405	1.8626451e-08	-0.0039173895	2.9802322e-08	-0.0072835926	0.10868387	-0.03448727	9.897116	-3.4912386	1.5041664	-0.005260825	7.0	1.813763	0.010941545	1200000	1126.8410143852234
40	5.130734	3.864472	13.167336	-2.076224	37.17857	102.433624	526.0	0.0	1000.0	41053.0	0.03337642276422764	0.45865053	0.5914886	2.1786466	-0.9567508	1.1344575	1.679292	18.385965	-2.0547345	-1.4901161e-08	-0.004637208	-1.4901161e-08	-0.013042468	0.14440304	-0.07118933	158.4275	-110.18488	1.4989055	-0.0031517744	2.0	1.8122473	0.012515347	1230000	1154.8939831256866
41	5.0203643	3.3108552	11.532718	-0.89842427	36.285713	51.49678	254.0	0.0	1000.0	42069.0	0.03338809523809524	0.5254414	0.5646562	2.2062423	-0.8361845	2.3153758	5.159163	53.45205	-8.905595	2.0489097e-08	-0.0034814414	2.9802322e-08	-0.01876504	0.1061663	-0.050013423	97.422066	-33.183228	1.4957538	-0.0008840561	1.0	1.8114069	0.034085114	1260000	1182.9035322666168
42	6.804667	2.5194418	12.762592	0.68372	23.964285	27.566132	121.0	0.0	1000.0	42771.0	0.03315581395348837	0.64990854	0.5601385	2.0075846	-0.72072595	2.5440445	2.7319186	21.353346	-2.7289424	-2.9802322e-08	-0.004181383	-5.2154064e-08	-0.010209341	0.15581429	-0.06374143	31.075697	-7.837446	1.4948697	-0.0008841753	2.0	1.8108244	0.010563994	1290000	1210.891005039215
43	4.775917	2.4892778	11.594639	0.52665573	24.678572	34.527477	142.0	0.0	1000.0	43485.0	0.032943181818181816	0.56995183	0.5506522	1.9309797	-1.0113109	2.0238638	2.1069925	15.001055	-1.3889269	1.4901161e-08	-0.00017253496	2.2351742e-08	-0.0016329102	0.10110718	-0.035240315	36.222378	-12.190838	1.4939855	-0.00093209743	1.0	1.8099781	0.010861249	1320000	1238.8184666633606
