Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
34	16.836575	2.1514623	20.74157	12.7494955	85.0	29.53811	152.0	14.0	1000.0	88528.0	0.08431238095238096	1.8065333	0.51712006	2.6179779	-0.14708668	8.333139	5.180918	32.12644	-1.6684492	5.5879354e-09	-0.0073080454	0.0	-0.0024314001	0.13645473	-0.025031865	26.79848	-11.153366	0	0	2.6378615	0.0	1.3185109	0.009587318	1050000	739.8332812786102
35	17.383253	2.7912743	22.530922	11.558585	85.791664	25.932571	149.0	43.0	1000.0	91104.0	0.08435555555555556	1.7488471	0.49458662	2.596799	-0.32559016	8.617844	5.298084	33.820217	-2.0529344	5.5879354e-09	-0.008667907	-1.4901161e-08	0.0020965033	0.18039545	-0.033544198	28.137787	-12.417862	0	0	2.277289	0.0	1.3319448	0.009628419	1080000	762.2359838485718
36	17.542082	2.7946723	22.865353	11.368382	89.0	32.233524	144.0	12.0	1000.0	93832.0	0.08453333333333334	1.8549268	0.53070414	2.8800259	-0.38869172	8.5740795	5.314844	34.750996	-3.7355952	1.8626451e-09	-0.0071507697	7.450581e-09	0.0022933655	0.1421012	-0.029063446	26.835743	-12.956734	0	0	2.859529	0.0	1.294052	0.009845771	1110000	784.7656116485596
37	17.308727	3.088005	26.95067	11.782959	85.333336	30.032852	151.0	31.0	1000.0	96301.0	0.08447456140350877	1.811148	0.51729274	2.7503479	-0.46108532	9.800345	5.319923	32.729202	-1.4957986	2.2351742e-08	-0.007801586	-1.3038516e-08	0.002395098	0.22664088	-0.06281455	26.89851	-13.052741	0	0	2.5897439	0.0	1.2972245	0.009610177	1140000	807.2690727710724
38	17.827105	3.3140583	24.289131	10.916326	83.041664	23.078632	119.0	36.0	1000.0	98790.0	0.08443589743589744	1.8334328	0.5188653	2.7342627	-0.7394406	8.198258	4.953482	38.17104	-2.0804682	-1.3038516e-08	-0.008408341	3.7252903e-08	-0.0010544532	0.17035148	-0.033779703	24.77439	-10.963993	0	0	2.370738	0.0	1.2932873	0.009715222	1170000	829.9924664497375
39	17.52959	2.9607456	23.297716	12.862315	78.916664	28.059336	138.0	33.0	1000.0	101243.0	0.08436916666666666	1.8450269	0.5125534	2.9660678	-0.3717494	8.688919	4.5088444	31.26435	-2.499222	0.0	-0.008105853	0.0	-0.0021315606	0.14013635	-0.028531479	25.675114	-11.073962	0	0	2.4138734	0.0	1.2795377	0.009574648	1200000	852.7927219867706
40	18.006319	2.220983	22.231712	11.90259	69.75	33.273174	148.0	13.0	1000.0	103439.0	0.08409674796747968	1.836618	0.47710827	2.8768802	-0.6552101	8.063203	4.8599057	31.4462	-1.8101808	-6.0535967e-09	-0.008651664	-1.6763806e-08	-0.00060989335	0.14181179	-0.04204109	24.300549	-10.800072	0	0	2.2678976	0.0	1.2536716	0.00955661	1230000	875.5531775951385
41	17.733297	2.540498	21.901276	12.828813	75.5	35.84341	151.0	15.0	1000.0	105877.0	0.08402936507936508	1.871204	0.496447	2.8139899	-0.26656282	7.8111477	5.1751847	32.273815	-1.771058	5.5879354e-09	-0.007223262	2.7939677e-08	0.00093235285	0.13632339	-0.02605809	23.664688	-10.227246	0	0	2.7864044	0.0	1.2374964	0.009835839	1260000	898.5698251724243
42	18.183678	2.636044	22.708345	12.794604	74.0	35.625366	146.0	0.0	1000.0	108141.0	0.08383023255813954	1.8812658	0.49786115	2.7751892	-0.38867047	8.178839	5.3598294	34.694443	-3.032587	4.656613e-09	-0.0073337667	3.3527613e-08	-0.004604728	0.14658374	-0.035319448	23.802576	-11.124081	0	0	2.649167	0.0	1.2264622	0.009615964	1290000	921.3899781703949
43	18.208681	3.208064	22.596062	8.263081	88.041664	32.39403	159.0	30.0	1000.0	110740.0	0.0838939393939394	1.847917	0.5118306	2.8449223	-0.63272	8.328167	5.1200333	35.355843	-3.0025685	-9.313226e-09	-0.007318388	-5.9604645e-08	-0.003209421	0.12703815	-0.028373595	24.623878	-12.887709	0	0	2.7053182	0.0	1.2253445	0.009691282	1320000	943.9577834606171
