Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
37	9.554454	4.2278557	17.087172	0.29421532	36.3	28.557718	109.0	0.0	1000.0	43217.0	0.03790964912280702	0.9380319	0.5989575	2.2756848	-0.4779459	4.217854	2.3201864	14.220088	2.554194	-1.22492e-08	-0.016840992	-2.0345052e-08	-0.02558489	0.12955934	-0.059518144	38.17557	-9.429407	1.5130217	0.023676395	1.1725996	0.0	1.6408198	0.009521844	1140000	3497.1644394397736
38	9.741791	4.5055428	17.84199	-0.9879593	36.266666	68.39733	355.0	0.0	1000.0	44305.0	0.03786752136752137	0.9607853	0.6278738	2.5094035	-0.5766052	3.3636446	1.9147791	11.855727	2.3002076	0.0	-0.016614342	0.0	-0.027321443	0.13576698	-0.059523344	93.80871	-9.244949	1.5366981	0.023747921	1.1301242	0.0	1.6644391	0.008859289	1170000	3595.080371618271
39	9.717871	3.9995253	18.674713	0.9816636	28.466667	35.731155	145.0	0.0	1000.0	45159.0	0.0376325	0.93622863	0.6043626	2.3611832	-0.5792716	3.8360834	2.6187575	11.352076	1.7155721	1.5826521e-09	-0.01568479	8.138021e-09	-0.024133552	0.16043149	-0.0713908	38.181496	-8.573969	1.560446	0.022408605	1.2840544	0.0	1.6367427	0.009591792	1200000	3692.9112751483917
40	8.765629	3.944059	16.757736	2.273828	31.0	34.964745	158.0	0.0	1000.0	46089.0	0.03747073170731707	0.92946434	0.62116444	2.324094	-0.4086175	3.0655446	2.4592767	11.675196	1.6363566	-8.4317096e-09	-0.01539018	-1.7293294e-08	-0.022497345	0.14681771	-0.07242281	37.42013	-7.807131	1.5828546	0.02166307	1.2378736	0.0	1.6153035	0.009133114	1230000	3790.213991165161
41	8.191648	5.309774	20.888027	-2.4425075	37.033333	63.87722	354.0	0.0	1000.0	47200.0	0.03746031746031746	0.83374125	0.6316209	2.2687166	-0.5912677	3.1325855	2.696906	12.48825	1.5505481	5.013442e-08	-0.017641475	8.138021e-08	-0.026785702	0.18992686	-0.09784729	71.58645	-18.7005	1.6045177	0.022122622	1.1046587	0.0	1.6177833	0.009748822	1260000	3888.2397754192352
42	9.72726	3.665394	16.276297	1.217177	37.5	42.010117	212.0	0.0	1000.0	48325.0	0.03746124031007752	0.94228804	0.64379406	2.3513646	-0.5071545	3.6541052	2.746285	17.836418	2.1226504	7.745656e-10	-0.018021455	0.0	-0.027605258	0.15500852	-0.07601158	47.723267	-17.51253	1.6266403	0.022653818	1.0829693	0.0	1.6307315	0.009711975	1290000	3985.8092160224915
43	7.433716	3.5613692	14.94034	1.1330656	33.333332	47.799816	189.0	0.0	1000.0	49325.0	0.037367424242424244	0.7728336	0.66150594	2.3463588	-0.69457215	3.0862763	2.513127	16.794382	1.9877	7.348712e-09	-0.01698849	1.6276042e-08	-0.026508285	0.15063779	-0.074098974	69.47401	-18.863297	1.6492941	0.02237165	1.1761366	0.0	1.633226	0.009596376	1320000	4083.2071373462677
44	9.952915	4.6295	15.39234	-0.058722977	25.233334	33.473057	178.0	0.0	1000.0	50082.0	0.03709777777777778	0.93129337	0.71968514	2.4649246	-0.6677303	3.209859	3.1473277	17.377317	1.5944171	3.4382243e-08	-0.0168678	6.103516e-08	-0.02307102	0.17423707	-0.09005034	36.621918	-12.314928	1.6716658	0.020496607	1.156201	0.0	1.6327841	0.009331154	1350000	4181.998515367508
45	9.192963	5.7170386	17.377329	-2.5849667	22.833334	20.588156	77.0	0.0	1000.0	50767.0	0.03678768115942029	0.92715746	0.7210555	2.5445795	-0.8512512	2.4283824	2.6927767	14.185643	1.1538367	-1.801868e-09	-0.012915401	-4.0690105e-09	-0.018415118	0.15030861	-0.07746362	17.814547	-6.1966114	1.6921624	0.018264055	1.4905334	0.0	1.6144888	0.009566121	1380000	4265.542639732361
46	7.423553	5.3270793	15.312972	-3.312435	18.766666	35.000652	132.0	0.0	1000.0	51330.0	0.03640425531914893	0.75428444	0.7442045	2.6391788	-0.7748397	1.8081398	2.3001187	14.34471	0.87562513	-1.2305573e-08	-0.01384093	-1.8310548e-08	-0.02106385	0.14288902	-0.08302764	28.911352	-5.639803	1.7104264	0.015325785	1.4022257	0.0	1.597528	0.009093124	1410000	4357.34791302681
